,Title,Published_date,Views,Likes,Comments,Month
53,Tear & Share Garlic Aubergine,2017-11-16,184,2,"{'viewCount': '184', 'likeCount': '2', 'favoriteCount': '0', 'commentCount': '0'}",Nov
54,Vegan 'Camembert',2017-11-14,2902,32,"{'viewCount': '2902', 'likeCount': '32', 'favoriteCount': '0', 'commentCount': '4'}",Nov
55,Rude Health Kids Breakfast Bircher Bowl,2017-10-04,783,8,"{'viewCount': '783', 'likeCount': '8', 'favoriteCount': '0', 'commentCount': '0'}",Oct
56,The Perfect Date Night Steak Recipe,2017-09-18,1670,9,"{'viewCount': '1670', 'likeCount': '9', 'favoriteCount': '0', 'commentCount': '1'}",Sep
57,How to Get Kids to Try New Foods,2017-09-14,3866,45,"{'viewCount': '3866', 'likeCount': '45', 'favoriteCount': '0'}",Sep
58,The Ultimate Vegan Brownies,2017-09-07,7242,190,"{'viewCount': '7242', 'likeCount': '190', 'favoriteCount': '0', 'commentCount': '8'}",Sep
59,FRESH TALKS,2017-06-26,479,4,"{'viewCount': '479', 'likeCount': '4', 'favoriteCount': '0', 'commentCount': '0'}",Jun
60,The Sri Lanka Diaries: Sri Lankan Chicken with Coconut & Courgette Pilaf Recipe,2017-06-26,560,16,"{'viewCount': '560', 'likeCount': '16', 'favoriteCount': '0', 'commentCount': '2'}",Jun
61,The Sri Lanka Diaries: The Perfect Kotthu Roti Recipe,2017-06-26,184,3,"{'viewCount': '184', 'likeCount': '3', 'favoriteCount': '0', 'commentCount': '0'}",Jun
62,The Sri Lanka Diaries: Cinnamon Farming Secrets,2017-06-26,904,10,"{'viewCount': '904', 'likeCount': '10', 'favoriteCount': '0', 'commentCount': '0'}",Jun
63,The Sri Lanka Diaries: Vegan Sri Lankan JackFruit Burger Recipe,2017-06-23,1695,21,"{'viewCount': '1695', 'likeCount': '21', 'favoriteCount': '0', 'commentCount': '0'}",Jun
64,The Sri Lanka Diaries: Patrick Goes Stilt Fishing,2017-06-19,332,3,"{'viewCount': '332', 'likeCount': '3', 'favoriteCount': '0', 'commentCount': '0'}",Jun
65,The Sri Lanka Diaries: Sri Lankan Fish Curry Recipe,2017-06-19,1586,25,"{'viewCount': '1586', 'likeCount': '25', 'favoriteCount': '0', 'commentCount': '0'}",Jun
66,Father's Day Recipe: Big Daddy Breakfast Burger,2017-06-15,4071,64,"{'viewCount': '4071', 'likeCount': '64', 'favoriteCount': '0', 'commentCount': '0'}",Jun
67,The Sri Lanka Diaries: Head Chef Patrick Explores Sri Lanka,2017-06-15,414,2,"{'viewCount': '414', 'likeCount': '2', 'favoriteCount': '0', 'commentCount': '0'}",Jun
68,The Sri Lanka Diaries: How (not) to Climb a Coconut Tree,2017-06-15,797,2,"{'viewCount': '797', 'likeCount': '2', 'favoriteCount': '0', 'commentCount': '0'}",Jun
69,Fenugreek Seeds For Your Hair,2017-06-13,1715,26,"{'viewCount': '1715', 'likeCount': '26', 'favoriteCount': '0', 'commentCount': '0'}",Jun
70,The Sri Lanka Diaries: Sweet Potato Coconut Dhal Recipe,2017-06-13,1197,10,"{'viewCount': '1197', 'likeCount': '10', 'favoriteCount': '0', 'commentCount': '2'}",Jun
71,The Sri Lanka Diaries,2017-06-06,494,5,"{'viewCount': '494', 'likeCount': '5', 'favoriteCount': '0', 'commentCount': '0'}",Jun
72,The Sri Lanka Diaries: Patrick Cooks Our Prawn Stir Fry Recipe Next to Sigiriya Rock,2017-06-05,3167,48,"{'viewCount': '3167', 'likeCount': '48', 'favoriteCount': '0', 'commentCount': '1'}",Jun
73,The Family Box Experience,2017-03-20,563,2,"{'viewCount': '563', 'likeCount': '2', 'favoriteCount': '0', 'commentCount': '0'}",Mar
74,A Tour of London's Best Pie to Celebrate #BritishPieWeek!,2017-03-08,470,6,"{'viewCount': '470', 'likeCount': '6', 'favoriteCount': '0', 'commentCount': '2'}",Mar
75,Dinner Made Easy,2017-02-08,123140,11,"{'viewCount': '123140', 'likeCount': '11', 'favoriteCount': '0', 'commentCount': '1'}",Feb
76,Mexican Black Bean and Buckwheat Bake,2017-01-25,639,14,"{'viewCount': '639', 'likeCount': '14', 'favoriteCount': '0', 'commentCount': '0'}",Jan
77,Coconut Fish Soup with Sea Bream,2016-10-19,758,8,"{'viewCount': '758', 'likeCount': '8', 'favoriteCount': '0', 'commentCount': '1'}",Oct
78,Simple Italian Dressing,2016-10-13,553,6,"{'viewCount': '553', 'likeCount': '6', 'favoriteCount': '0', 'commentCount': '0'}",Oct
79,Courgette Parmigiana,2016-10-05,1281,14,"{'viewCount': '1281', 'likeCount': '14', 'favoriteCount': '0', 'commentCount': '0'}",Oct
80,5 Minute Houmous,2016-09-30,309,2,"{'viewCount': '309', 'likeCount': '2', 'favoriteCount': '0', 'commentCount': '0'}",Sep
81,Cauliflower Green Curry,2016-09-23,598,5,"{'viewCount': '598', 'likeCount': '5', 'favoriteCount': '0', 'commentCount': '0'}",Sep
82,Glazed Pork Tenderloin,2016-09-20,620,2,"{'viewCount': '620', 'likeCount': '2', 'favoriteCount': '0', 'commentCount': '0'}",Sep
83,Baja Fish Tacos,2016-09-10,28657,7,"{'viewCount': '28657', 'likeCount': '7', 'favoriteCount': '0', 'commentCount': '0'}",Sep
84,Potatoes a la Caprese,2016-09-08,44402,7,"{'viewCount': '44402', 'likeCount': '7', 'favoriteCount': '0', 'commentCount': '0'}",Sep
85,How to Tell How Cooked Your Meat is Mini Stip,2016-09-06,139,0,"{'viewCount': '139', 'likeCount': '0', 'favoriteCount': '0', 'commentCount': '0'}",Sep
86,Victoria's Secret Pesto Formula Mini Tip,2016-09-06,205,0,"{'viewCount': '205', 'likeCount': '0', 'favoriteCount': '0', 'commentCount': '1'}",Sep
87,The Perfect Mash Mini Tip,2016-09-06,125,0,"{'viewCount': '125', 'likeCount': '0', 'favoriteCount': '0', 'commentCount': '0'}",Sep
88,The Trick to Potatoes Mini Tip,2016-09-06,95,0,"{'viewCount': '95', 'likeCount': '0', 'favoriteCount': '0', 'commentCount': '0'}",Sep
89,Mimi's Garlic Trick Mini Tip,2016-09-06,106,1,"{'viewCount': '106', 'likeCount': '1', 'favoriteCount': '0', 'commentCount': '0'}",Sep
90,How to Make The Perfect Pancake,2016-09-06,163,0,"{'viewCount': '163', 'likeCount': '0', 'favoriteCount': '0', 'commentCount': '0'}",Sep
91,How to Plate Food Mini Tip,2016-09-06,143,1,"{'viewCount': '143', 'likeCount': '1', 'favoriteCount': '0', 'commentCount': '0'}",Sep
92,The Secret to Searing Steak Mini Tip,2016-09-06,109,0,"{'viewCount': '109', 'likeCount': '0', 'favoriteCount': '0', 'commentCount': '0'}",Sep
93,The Importance of Resting Steak Mini Tip,2016-09-06,196,1,"{'viewCount': '196', 'likeCount': '1', 'favoriteCount': '0', 'commentCount': '0'}",Sep
94,How to Get Fish Skin Crispy Mini Tip,2016-09-06,153,0,"{'viewCount': '153', 'likeCount': '0', 'favoriteCount': '0', 'commentCount': '0'}",Sep
95,How to Make a Glaze Mini Tip,2016-09-06,42,0,"{'viewCount': '42', 'likeCount': '0', 'favoriteCount': '0', 'commentCount': '0'}",Sep
96,How to Butcher a Chicken Mini Tip,2016-09-06,99,0,"{'viewCount': '99', 'likeCount': '0', 'favoriteCount': '0', 'commentCount': '0'}",Sep
97,Halloumi Fritters,2016-09-04,155703,13,"{'viewCount': '155703', 'likeCount': '13', 'favoriteCount': '0', 'commentCount': '2'}",Sep
98,Buffalo Cauliflower Bites,2016-09-02,122,1,"{'viewCount': '122', 'likeCount': '1', 'favoriteCount': '0', 'commentCount': '0'}",Sep
99,How to Peel Ginger,2016-08-29,250,2,"{'viewCount': '250', 'likeCount': '2', 'favoriteCount': '0', 'commentCount': '0'}",Aug
100,How to Deseed a Pomegranate,2016-08-29,175,1,"{'viewCount': '175', 'likeCount': '1', 'favoriteCount': '0', 'commentCount': '0'}",Aug
101,Spaghetti in Fennel Cream Sauce with Hot Smoked Salmon,2016-08-17,448,1,"{'viewCount': '448', 'likeCount': '1', 'favoriteCount': '0', 'commentCount': '0'}",Aug
102,Caramelised Shallot Risotto,2016-08-16,836,8,"{'viewCount': '836', 'likeCount': '8', 'favoriteCount': '0', 'commentCount': '2'}",Aug
103,Fisherman's Pie,2016-08-14,195,0,"{'viewCount': '195', 'likeCount': '0', 'favoriteCount': '0', 'commentCount': '0'}",Aug
104,"Gnocchi with Tomato, Balsamic Onions and Marinated Mozzarella",2016-08-10,221,1,"{'viewCount': '221', 'likeCount': '1', 'favoriteCount': '0', 'commentCount': '1'}",Aug
105,Tortellini Casserole,2016-07-20,3377,37,"{'viewCount': '3377', 'likeCount': '37', 'favoriteCount': '0', 'commentCount': '1'}",Jul
106,Stuffed Aubergine,2016-07-20,11779,46,"{'viewCount': '11779', 'likeCount': '46', 'favoriteCount': '0', 'commentCount': '0'}",Jul
107,Smoothie Bowl,2016-07-20,913,15,"{'viewCount': '913', 'likeCount': '15', 'favoriteCount': '0', 'commentCount': '0'}",Jul
108,Peach Pineapple Wine Slushie,2016-07-20,675,14,"{'viewCount': '675', 'likeCount': '14', 'favoriteCount': '0', 'commentCount': '0'}",Jul
109,Mini Deep Dish Pizzas,2016-07-20,1414,22,"{'viewCount': '1414', 'likeCount': '22', 'favoriteCount': '0', 'commentCount': '2'}",Jul
110,Jalapeño Poppers,2016-07-20,848,9,"{'viewCount': '848', 'likeCount': '9', 'favoriteCount': '0', 'commentCount': '0'}",Jul
111,Italian Cheese Bombs,2016-07-20,1258,6,"{'viewCount': '1258', 'likeCount': '6', 'favoriteCount': '0', 'commentCount': '0'}",Jul
112,Fruit Salsa with Cinnamon Nachos,2016-07-20,1031,21,"{'viewCount': '1031', 'likeCount': '21', 'favoriteCount': '0', 'commentCount': '1'}",Jul
113,Aubergine Pizza,2016-07-20,2268,33,"{'viewCount': '2268', 'likeCount': '33', 'favoriteCount': '0', 'commentCount': '1'}",Jul
114,Chicken Kiev,2016-07-20,1288,7,"{'viewCount': '1288', 'likeCount': '7', 'favoriteCount': '0', 'commentCount': '0'}",Jul
115,Cheese and Spinach Triangles,2016-07-20,1185,10,"{'viewCount': '1185', 'likeCount': '10', 'favoriteCount': '0', 'commentCount': '0'}",Jul
116,Banana S'mores,2016-07-20,4234,66,"{'viewCount': '4234', 'likeCount': '66', 'favoriteCount': '0', 'commentCount': '2'}",Jul
117,The BEST avocado toasts,2016-04-08,80384,34,"{'viewCount': '80384', 'likeCount': '34', 'favoriteCount': '0', 'commentCount': '0'}",Apr
118,The World's Best Cupcakes (APRIL FOOLS!),2016-03-31,560,4,"{'viewCount': '560', 'likeCount': '4', 'favoriteCount': '0', 'commentCount': '1'}",Mar
119,#CookItForward This Christmas,2015-12-08,386,1,"{'viewCount': '386', 'likeCount': '1', 'favoriteCount': '0', 'commentCount': '0'}",Dec
120,Behind-the-Scenes on Bradley Cooper's New Movie: Burnt,2015-11-05,39364,133,"{'viewCount': '39364', 'likeCount': '133', 'favoriteCount': '0', 'commentCount': '0'}",Nov
121,Kristina and Jacob   In The Kitchen,2015-10-28,1863,4,"{'viewCount': '1863', 'likeCount': '4', 'favoriteCount': '0', 'commentCount': '0'}",Oct
122,Leisa and Steve   In The Kitchen,2015-10-28,3573,4,"{'viewCount': '3573', 'likeCount': '4', 'favoriteCount': '0', 'commentCount': '0'}",Oct
123,Roxie and Phil   In The Kitchen,2015-10-28,1226,1,"{'viewCount': '1226', 'likeCount': '1', 'favoriteCount': '0', 'commentCount': '0'}",Oct
124,Meet the Makers - One of Our Fishmongers,2015-10-28,2513,8,"{'viewCount': '2513', 'likeCount': '8', 'favoriteCount': '0', 'commentCount': '0'}",Oct
125,Meet the Makers - Our Herb Grower,2015-10-28,3405,3,"{'viewCount': '3405', 'likeCount': '3', 'favoriteCount': '0', 'commentCount': '0'}",Oct
126,"A healthy, quick breakfast recipe",2015-08-26,500,2,"{'viewCount': '500', 'likeCount': '2', 'favoriteCount': '0', 'commentCount': '0'}",Aug
127,OUT NOW: Our Cooking App,2015-07-27,31155,38,"{'viewCount': '31155', 'likeCount': '38', 'favoriteCount': '0', 'commentCount': '4'}",Jul
128,HelloFresh goes local: British Potatoes,2015-07-21,393,1,"{'viewCount': '393', 'likeCount': '1', 'favoriteCount': '0', 'commentCount': '0'}",Jul
129,Our HelloFresh team on THE QUEEN,2015-06-12,1797,5,"{'viewCount': '1797', 'likeCount': '5', 'favoriteCount': '0', 'commentCount': '2'}",Jun
130,HOW TO: Spinach Smoothie,2015-05-19,1643,19,"{'viewCount': '1643', 'likeCount': '19', 'favoriteCount': '0', 'commentCount': '1'}",May
131,NEW: Our HelloFresh Commercial 2015,2015-05-12,25257,49,"{'viewCount': '25257', 'likeCount': '49', 'favoriteCount': '0', 'commentCount': '2'}",May
132,Patrick Does Some Recipe Reconnaissance,2015-04-21,933,0,"{'viewCount': '933', 'likeCount': '0', 'favoriteCount': '0', 'commentCount': '0'}",Apr
133,Kitchen Knife Skills: How to Cut Tomatoes,2015-04-03,1509,7,"{'viewCount': '1509', 'likeCount': '7', 'favoriteCount': '0', 'commentCount': '1'}",Apr
134,Fresh Tips - The Secret Knife Sharpener,2015-04-03,800,3,"{'viewCount': '800', 'likeCount': '3', 'favoriteCount': '0', 'commentCount': '0'}",Apr
135,Behind the Scenes: Our Farms,2015-02-12,43253,9,"{'viewCount': '43253', 'likeCount': '9', 'favoriteCount': '0', 'commentCount': '12'}",Feb
136,How to make homemade GUACAMOLE,2015-02-06,1740,11,"{'viewCount': '1740', 'likeCount': '11', 'favoriteCount': '0', 'commentCount': '3'}",Feb
137,Kitchen Knife Skills: Julienne & Brunoise,2014-11-18,2243,6,"{'viewCount': '2243', 'likeCount': '6', 'favoriteCount': '0', 'commentCount': '1'}",Nov
138,Our Story,2014-06-13,26089,154,"{'viewCount': '26089', 'likeCount': '154', 'favoriteCount': '0', 'commentCount': '8'}",Jun
139,HOW TO: Wahaca Chicken Tinga Recipe with Thomasina Miers,2013-11-06,11215,58,"{'viewCount': '11215', 'likeCount': '58', 'favoriteCount': '0', 'commentCount': '4'}",Nov
140,Why choose our Family Box,2013-07-10,1689,3,"{'viewCount': '1689', 'likeCount': '3', 'favoriteCount': '0', 'commentCount': '0'}",Jul
141,HOW TO: Carrot Soup with Bunny Patrick,2013-04-02,1887,13,"{'viewCount': '1887', 'likeCount': '13', 'favoriteCount': '0', 'commentCount': '1'}",Apr
142,HOW TO: Vanilla flavoured Chicken Curry,2013-01-29,1194,7,"{'viewCount': '1194', 'likeCount': '7', 'favoriteCount': '0', 'commentCount': '0'}",Jan
143,HOW TO: London Style Calzone Pizza,2012-10-30,1098,6,"{'viewCount': '1098', 'likeCount': '6', 'favoriteCount': '0', 'commentCount': '2'}",Oct
144,Google Hangouts Cooking: Prawn and Prosciutto Linguine,2012-09-26,3095,27,"{'viewCount': '3095', 'likeCount': '27', 'favoriteCount': '0', 'commentCount': '7'}",Sep
145,DIY Dinners: The Hello Fresh Way,2012-06-11,17208,14,"{'viewCount': '17208', 'likeCount': '14', 'favoriteCount': '0', 'commentCount': '0'}",Jun
146,Speed Omelette Challenge: The Movie,2012-05-29,5452,4,"{'viewCount': '5452', 'likeCount': '4', 'favoriteCount': '0', 'commentCount': '2'}",May
147,The Hello Fresh Olympic Torch,2012-05-03,1361,9,"{'viewCount': '1361', 'likeCount': '9', 'favoriteCount': '0', 'commentCount': '2'}",May
